company_name,industry,website,telephone,fax,address,address_maplink,email
MEUBLES DESCARTES SA,Inserate,http://www.decarte.ch/,tel:027 743 43 43,fax:027 743 43 44,"Route du Léman 33
1907 Saxon",https://www.google.com/maps/place/Route%20du%20L%C3%A9man%2033+1907+Saxon,email not found on website
Eticolle Schoechli SA,Sonstiges Drucken a. n. g.,http://www.eticolle.ch/,tel:027 452 25 26,NA,"Techno-pôle 2
3960 Sierre",https://www.google.com/maps/place/Techno-p%C3%B4le%202+3960+Sierre,info@eticolle.ch
Ettima AG,Grosshandel mit Werkzeugmaschinen,http://www.ettima.ch/,tel:031 819 56 26,fax:031 819 56 63,"Bernstrasse 25
3125 Toffen",https://www.google.com/maps/place/Bernstrasse%2025+3125+Toffen,email not found on website
Alushi AG,Spezielle Reinigung von Gebäuden und Reinigung von Maschinen,http://www.alushi.ch/,tel:052 376 16 80,fax:052 376 16 87,"Frauenfelderstrasse 66
9548 Matzingen",https://www.google.com/maps/place/Frauenfelderstrasse%2066+9548+Matzingen,email not found on website
Studer Optik,Detailhandel mit Brillen und anderen Sehhilfen,http://www.studeroptik.ch/,tel:032 392 25 15,fax:032 392 28 89,"Stadtplatz 60
3270 Aarberg",https://www.google.com/maps/place/Stadtplatz%2060+3270+Aarberg,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
"Becarti,Beatrice Zoll-Dotta",Detailhandel mit Geschenkartikeln und Souvenirs,NA,tel:033 223 05 64,fax:033 223 05 65,"Marienstrasse 4
3600 Thun",https://www.google.com/maps/place/Marienstrasse%204+3600+Thun,website does not exist
ESPRESSO OPTIC AG,Artikel im Shop,http://www.espressoptic.ch/,tel:044 860 38 49,fax:044 860 38 49,"EKZ Bülach Süd
8180 Bülach",https://www.google.com/maps/place/EKZ%20B%C3%BClach%20S%C3%BCd+8180+B%C3%BClach,email not found on website
Schmid Alois AG,Elektroinstallation,NA,tel:027 946 56 04,fax:027 946 56 10,"Jauschboden 1
3938 Ausserberg",https://www.google.com/maps/place/Jauschboden%201+3938+Ausserberg,website does not exist
René Stocker Immobilien GmbH,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:056 416 90 30,fax:056 406 22 59,"Zürcherstrasse 143
5432 Neuenhof",https://www.google.com/maps/place/Z%C3%BCrcherstrasse%20143+5432+Neuenhof,website does not exist
Valido AG,Unternehmensberatung,NA,tel:041 921 04 42,NA,"Wassergrabe 6
6210 Sursee",https://www.google.com/maps/place/Wassergrabe%206+6210+Sursee,website does not exist
