company_name,industry,website,telephone,fax,address,address_maplink,email_home
Schröder AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,tel:062 771 93 93,NA,"Schorenstrasse 6
5734 Reinach AG",https://www.google.com/maps/place/Schorenstrasse%206+5734+Reinach%20AG,website not accessible
Giovanni Quadri SA,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.quadri-sa.ch/,tel:091 961 60 80,fax:091 961 60 99,"via Chioso 9
6814 Lamone-Cadempino",https://www.google.com/maps/place/via%20Chioso%209+6814+Lamone-Cadempino,info@quadri-sa.ch
Schmid Gipserei AG,"Anbringen von Stuckaturen, Gipserei und Verputzerei",http://www.schmid-gipserei.ch/,tel:062 873 23 58,NA,"Querstrasse 3
4334 Sisseln AG",https://www.google.com/maps/place/Querstrasse%203+4334+Sisseln%20AG,schmidgipserei@bluewin.ch
Schmid Schreiner AG,Schreinerarbeiten im Innenausbau,http://www.schmid-schreiner.ch/,tel:033 345 10 10,NA,"Zelgstrasse 59
3661 Uetendorf",https://www.google.com/maps/place/Zelgstrasse%2059+3661+Uetendorf,ad@schmid-schreiner.ch
Dietsche Strassenbau AG,Bau von Strassen,NA,tel:071 757 80 80,fax:071 757 80 89,"Kirchdorfstrasse 21
9451 Kriessern",https://www.google.com/maps/place/Kirchdorfstrasse%2021+9451+Kriessern,website not accessible
Bodenseehotel Weisses Rössli,Ausschreibungen,https://www.weissesroessli.ch/,tel:071 855 15 15,fax:071 855 15 18,"Hauptstrasse 69
9422 Staad SG",https://www.google.com/maps/place/Hauptstrasse%2069+9422+Staad%20SG,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com
Restaurant Sonnenhof,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",NA,NA,NA,"Unterdorfstrasse 48
8311 Brütten",https://www.google.com/maps/place/Unterdorfstrasse%2048+8311+Br%C3%BCtten,website not accessible
Le Papaluna / Shop,Detailhandel mit Motorenkraftstoffen (Tankstellen),NA,NA,NA,"Rue Sous-le-Pré 19
2014 Bôle",https://www.google.com/maps/place/Rue%20Sous-le-Pr%C3%A9%2019+2014+B%C3%B4le,website not accessible
direco AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",http://www.avara.ch/,tel:071 272 13 20,NA,"Zweibruggenmühlestrasse 18
9014 St. Gallen",https://www.google.com/maps/place/Zweibruggenm%C3%BChlestrasse%2018+9014+St.%20Gallen,info@avara.ch
Manfred Bachmann Karte m. Herz GmbH,"Grosshandel mit Schreibwaren, Büchern und Zeitungen",http://www.kartemitherz.ch/,tel:056 288 15 54,fax:056 288 15 57,"Vogelrüti 115
5443 Niederrohrdorf",https://www.google.com/maps/place/Vogelr%C3%BCti%20115+5443+Niederrohrdorf,
Hirn Oberriet AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:071 761 21 13,fax:071 761 21 20,"Staatsstrasse 192
9463 Oberriet SG",https://www.google.com/maps/place/Staatsstrasse%20192+9463+Oberriet%20SG,website not accessible
Berthoud David,Innenarchitektur und Raumgestaltung,NA,tel:032 435 16 63,NA,"Rue de la Colline 12
2830 Courrendlin",https://www.google.com/maps/place/Rue%20de%20la%20Colline%2012+2830+Courrendlin,website not accessible
René Sameli,Malerei,NA,tel:071 622 42 09,fax:071 620 10 82,"Sangenstrasse 2
8570 Weinfelden",https://www.google.com/maps/place/Sangenstrasse%202+8570+Weinfelden,website not accessible
"Bachmann, Neukomm AG",Elektroinstallation,http://www.bnag.ch/,tel:052 632 07 07,fax:052 632 07 19,"Mühlenstrasse 66
8201 Schaffhausen",https://www.google.com/maps/place/M%C3%BChlenstrasse%2066+8201+Schaffhausen,r.leu@bnag.ch
RADIO TOP AG,Radioveranstalter,NA,tel:052 212 82 21,fax:052 212 82 45,"Bürglistrasse 31a
8401 Winterthur",https://www.google.com/maps/place/B%C3%BCrglistrasse%2031a+8401+Winterthur,website not accessible
Mäder Reisen,Reisebüros,http://www.toeffreisen.ch/,tel:026 419 23 22,fax:026 419 24 40,"Hauptstrasse 15,
1719 Zumholz","https://www.google.com/maps/place/Hauptstrasse%2015,+1719+Zumholz",info@toeffreisen.ch
Chr.Guyan AG,Güterbeförderung im Strassenverkehr,NA,tel:081 300 23 23,fax:081 300 23 29,"Industriestrasse 6
7220 Schiers",https://www.google.com/maps/place/Industriestrasse%206+7220+Schiers,website not accessible
Krähenbühl Holz GmbH,Sägewerke,NA,NA,fax:062 393 32 33,"Gondiswilerstrasse 16
6146 Grossdietwil",https://www.google.com/maps/place/Gondiswilerstrasse%2016+6146+Grossdietwil,website not accessible
BADTECH AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:071 868 70 99,fax:071 868 70 97,"Frohheimstrasse 3
9325 Roggwil TG",https://www.google.com/maps/place/Frohheimstrasse%203+9325+Roggwil%20TG,website not accessible
Rolf Blum Moto,"Handel mit Motorrädern, Kraftradteilen und -zubehör; Instandhaltung und Reparatur von Motorrädern",http://www.blum-moto.ch/,tel:061 261 36 30,fax:061 261 37 28,"Dornacherstrasse 301
4053 Basel",https://www.google.com/maps/place/Dornacherstrasse%20301+4053+Basel,bad link
generato invest ag,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,tel:055 450 55 55,NA,"Hurdnerwäldlistrasse 120
8808 Pfäffikon SZ",https://www.google.com/maps/place/Hurdnerw%C3%A4ldlistrasse%20120+8808+Pf%C3%A4ffikon%20SZ,website not accessible
Armin Müller,"Detailhandel mit Vorhängen, Teppichen, Fussbodenbelägen und Tapeten",http://www.mueller-boden.ch/,tel:062 794 34 27,NA,"Eggasse 14
4852 Rothrist",https://www.google.com/maps/place/Eggasse%2014+4852+Rothrist,bad link
Lekri Berufsbekleidung GmbH,Detailhandel mit Bekleidungszubehör und Bekleidung ohne ausgeprägten Schwerpunkt,http://www.lekri.berufsbekleidung.ch/,NA,NA,"Bielstrasse 1
3250 Lyss",https://www.google.com/maps/place/Bielstrasse%201+3250+Lyss,
Elektro-Anl.Mösler + Meier AG,Elektroinstallation,NA,tel:044 830 30 60,fax:044 830 30 68,"Dietlikonerstrasse 11
8304 Wallisellen",https://www.google.com/maps/place/Dietlikonerstrasse%2011+8304+Wallisellen,website not accessible
Jules Steiger AG,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.steiger-ag.ch/,tel:041 926 00 00,fax:041 933 33 68,"Kantonsstrasse 112
6234 Triengen",https://www.google.com/maps/place/Kantonsstrasse%20112+6234+Triengen,bad link
KS Baumanagement GmbH,Architekturbüros,http://www.ks-baumanagement.ch/,tel:078 698 08 15,NA,"Sagiacher 1
4915 St. Urban",https://www.google.com/maps/place/Sagiacher%201+4915+St.%20Urban,ks@ks-baumanagement.ch
Tube+Tec GmbH,Herstellung von Metallkonstruktionen,NA,tel:034 461 67 01,NA,"Kirchbergstrasse 209
3400 Burgdorf",https://www.google.com/maps/place/Kirchbergstrasse%20209+3400+Burgdorf,website not accessible
Caveau Moira,Detailhandel mit Getränken,http://www.caveaumoira.ch/,tel:032 392 72 45,fax:032 392 72 46,"Bernstrasse 26
3267 Seedorf BE",https://www.google.com/maps/place/Bernstrasse%2026+3267+Seedorf%20BE,post@caveaumoira.ch
Blumer Maschinenbau AG,Herstellung von Maschinen für die Papiererzeugung und -verarbeitung,http://www.blumerag.com/,tel:044 847 65 65,fax:044 847 65 66,"Brüel 11
8526 Oberneunforn",https://www.google.com/maps/place/Br%C3%BCel%2011+8526+Oberneunforn,info@blumerag.com
SJP Bau AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://sahliundfrei.ch/,NA,NA,"Industriestrasse 1
8307 Effretikon",https://www.google.com/maps/place/Industriestrasse%201+8307+Effretikon,info@sahliundfrei.ch
Egger + Co. AG,"Grosshandel mit Erzen, Metallen und Metallhalbzeug",http://www.egger-burgdorf.ch/,tel:031 791 11 76,NA,"Kirchbergstrasse 3
3400 Burgdorf",https://www.google.com/maps/place/Kirchbergstrasse%203+3400+Burgdorf,info@egger-burgdorf.ch
Artigiano Delivery,Artikel im Shop,http://www.pizzeria-basel.ch/,tel:061 271 15 76,NA,"Birsig Parkplatz 26
4051 Basel",https://www.google.com/maps/place/Birsig%20Parkplatz%2026+4051+Basel,website not accessible
Toni Frank AG,"Holzbau, Zimmerei",http://www.tonifrankag.ch/,tel:041 620 58 54,fax:041 620 58 37,"Herdern 5
6373 Ennetbürgen",https://www.google.com/maps/place/Herdern%205+6373+Ennetb%C3%BCrgen,bad link
Kocher & Partner Arch.AG,Architekturbüros,http://www.kocher-partner.ch/,tel:026 492 94 49,fax:026 493 33 64,"Industriestrasse 12
3186 Düdingen",https://www.google.com/maps/place/Industriestrasse%2012+3186+D%C3%BCdingen,headoffice@kocher-partner.ch
Elisabeth Meier,Sonstiger Fachdetailhandel a. n. g. (in Verkaufsräumen),NA,tel:056 624 17 20,NA,"Zürichstrasse 70
8600 Dübendorf",https://www.google.com/maps/place/Z%C3%BCrichstrasse%2070+8600+D%C3%BCbendorf,website not accessible
Immobilien Kuonen,"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.immobilien-kuonen.ch/,tel:027 473 47 48,fax:027 473 48 44,"Feithierenstrasse
3952 Susten",https://www.google.com/maps/place/Feithierenstrasse+3952+Susten,
Eiger Diamant AG,Grosshandel mit Werkzeugmaschinen,http://www.eigerdiamant.ch/,tel:079 622 33 99,NA,"Grossackerweg 24
3274 Merzligen",https://www.google.com/maps/place/Grossackerweg%2024+3274+Merzligen,m.plant@eigerdiamant.ch
Elektro Peter AG,Elektroinstallation,http://www.elektro-peter.ch/,tel:071 911 90 90,fax:071 911 12 12,"Lerchenfeldstrasse 14
9500 Wil SG",https://www.google.com/maps/place/Lerchenfeldstrasse%2014+9500+Wil%20SG,bad link
Aarekies Brienz AG,"Gewinnung von Kies, Sand, Ton und Kaolin",NA,tel:033 951 18 45,fax:033 951 13 17,"Aaregg
3855 Brienz BE",https://www.google.com/maps/place/Aaregg+3855+Brienz%20BE,website not accessible
Carrosserie Sempach Station AG,Reparatur und Lackieren von Carrosserien,http://www.carrosserie-sempach.ch/,tel:041 811 99 99,NA,"Eichweid 12
6203 Sempach Station",https://www.google.com/maps/place/Eichweid%2012+6203+Sempach%20Station,info@carrosserie-sempach.ch
"Lochmatter Emil,",Sanitärinstallation,NA,tel:027 923 96 67,NA,"Dorfplatz 12
3903 Birgisch",https://www.google.com/maps/place/Dorfplatz%2012+3903+Birgisch,website not accessible
Lübra Apparatebau AG,Herstellung von elektrischen Haushaltsgeräten,http://www.luebra.ch/,tel:071 841 66 33,fax:071 841 08 22,"Wiesenstrasse 15
9327 Tübach",https://www.google.com/maps/place/Wiesenstrasse%2015+9327+T%C3%BCbach,google@2x.pjpeg
Agora Commercial AG,"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:032 653 42 30,fax:032 653 43 32,"Karl Mathy-Strasse 14
2540 Grenchen",https://www.google.com/maps/place/Karl%20Mathy-Strasse%2014+2540+Grenchen,website not accessible
Milojko Manojlovic,Zahnarztpraxen,http://www.praxis-manojlovic.ch/,tel:062 758 20 20,NA,"Johanniterweg 5
6260 Reiden",https://www.google.com/maps/place/Johanniterweg%205+6260+Reiden,bad link
"W + S Normteile, Walter Nohl",Detailhandel mit Automobilteilen und -zubehör,NA,tel:061 851 58 85,NA,"Theodorshofweg 23
4310 Rheinfelden",https://www.google.com/maps/place/Theodorshofweg%2023+4310+Rheinfelden,website not accessible
gammaprint AG,Lichtpause- und Reprografiebetriebe,http://www.gammaprint.ch/,tel:041 249 30 30,NA,"Staldenhof 2
6014 Luzern",https://www.google.com/maps/place/Staldenhof%202+6014+Luzern,
