company_name,industry,website,telephone,fax,address,address_maplink,email_all
Ceramicas Surselva SA,Verlegen von Fliesen und Platten,NA,tel:081 941 24 24,NA,"Stradun 11
7162 Tavanasa",https://www.google.com/maps/place/Stradun%2011+7162+Tavanasa,website not accessible
Elektroplanung Vinzens GmbH,Elektroinstallation,http://www.ep-vinzens.ch/,NA,NA,"Dorfstrasse 15
6442 Gersau",https://www.google.com/maps/place/Dorfstrasse%2015+6442+Gersau,NA
WIMAG Weibel Immobilien AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:061 202 12 34,NA,"Elisabethenanlage 9
4051 Basel",https://www.google.com/maps/place/Elisabethenanlage%209+4051+Basel,website not accessible
Gebr. Baur AG,Sanitärinstallation und Spenglerei,http://www.baur-ag.ch/,tel:041 768 60 10,fax:041 768 60 15,"Ruessenstrasse 5
6340 Baar",https://www.google.com/maps/place/Ruessenstrasse%205+6340+Baar,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Parkhotel am See,Artikel im Shop,http://www.parkhotel-gunten.swiss/,tel:033 252 88 52,fax:033 252 88 88,"Seestrasse 90
3654 Gunten",https://www.google.com/maps/place/Seestrasse%2090+3654+Gunten,info@parkhotel-gunten.swiss
Lepus AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.seelust.ch/,tel:071 474 75 75,fax:071 474 75 65,"Wiedehorn
9322 Egnach",https://www.google.com/maps/place/Wiedehorn+9322+Egnach,info@seelust.ch
Ramseyer Haus AG,Architekturbüros,http://www.ramseyer-holzhaus.ch/,tel:061 971 62 34,NA,"Löhrweg 3
4442 Diepflingen",https://www.google.com/maps/place/L%C3%B6hrweg%203+4442+Diepflingen,info@ramseyer-holzhaus.ch
Diagonal Projektmanagement AG,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,http://www.diagonalag.ch/,tel:027 945 15 36,NA,"Fabrikstrasse 3
3900 Gamsen",https://www.google.com/maps/place/Fabrikstrasse%203+3900+Gamsen,info@diagonalag.ch
Thal-Garage Fuhrer AG,lnstandhaltung und Reparatur von Automobilen,http://www.thal-garage.ch/,tel:034 431 17 53,fax:034 431 40 08,3453 Heimisbach,https://www.google.com/maps/place/undefined+3453+Heimisbach,moto@thal-garage.ch
Gottfried Schmid,Architekturbüros,NA,tel:033 672 10 15,fax:033 672 10 11,"Kanderstegstrasse 11
3714 Frutigen",https://www.google.com/maps/place/Kanderstegstrasse%2011+3714+Frutigen,website not accessible
Bäga Innenausbau AG,Innenarchitektur und Raumgestaltung,NA,tel:031 302 57 37,NA,"Untermattweg 20
3027 Bern",https://www.google.com/maps/place/Untermattweg%2020+3027+Bern,website not accessible
Vulna GmbH,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,http://www.vulna.ch/,NA,NA,"Aarefeldstrasse 1
4658 Däniken SO",https://www.google.com/maps/place/Aarefeldstrasse%201+4658+D%C3%A4niken%20SO,website not accessible
Grob Kies AG,"Gewinnung von Kies, Sand, Ton und Kaolin",NA,tel:071 987 30 60,fax:071 987 30 61,"Ob.Flooz
9620 Lichtensteig",https://www.google.com/maps/place/Ob.Flooz+9620+Lichtensteig,website not accessible
Ebneter Consult AG,Bau-Ingenieurbüros,http://www.ebneter.ch/,tel:071 626 20 60,fax:071 626 20 61,"Amriswilerstrasse 57
8570 Weinfelden",https://www.google.com/maps/place/Amriswilerstrasse%2057+8570+Weinfelden,info@ebneter.ch
Boli Garage GmbH,lnstandhaltung und Reparatur von Automobilen,http://www.boligarage.ch/,tel:052 375 20 50,NA,"Uesslingerstrasse 30
8548 Ellikon an der Thur",https://www.google.com/maps/place/Uesslingerstrasse%2030+8548+Ellikon%20an%20der%20Thur,info@boligarage.ch
Aemmer AG,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.aemmer-gartenbau.ch/,tel:032 392 48 68,fax:032 387 79 57,"Heckenweg 12
3270 Aarberg",https://www.google.com/maps/place/Heckenweg%2012+3270+Aarberg,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Garage G. Bürgisser AG,lnstandhaltung und Reparatur von Automobilen,http://www.buergisser-garage.ch/,NA,NA,"Stiegenackerstrasse 2
5634 Merenschwand",https://www.google.com/maps/place/Stiegenackerstrasse%202+5634+Merenschwand,info@buergisser-garage.ch
BAMAG Maschinen AG,"Grosshandel mit Bergwerks-, Bau- und Baustoffmaschinen",http://www.bamag-maschinen.ch/,tel:044 843 40 00,fax:044 843 40 01,"Moosäckerstrasse 73
8105 Regensdorf",https://www.google.com/maps/place/Moos%C3%A4ckerstrasse%2073+8105+Regensdorf,info@bamag-maschinen.ch
Anselmi Distribution Sàrl,Grosshandel mit sonstigen Halbwaren,http://www.anselmi-distribution.ch/,tel:022 301 19 84,fax:022 301 19 29,"ch.du Québec 38
1214 Vernier",https://www.google.com/maps/place/ch.du%20Qu%C3%A9bec%2038+1214+Vernier,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
