company_name,industry,website,telephone,fax,address,address_maplink,email
Expo-Carrelages SA,Grosshandel mit Baustoffen,http://www.expo-carrelages.ch/,tel:027 723 22 52,fax:027 723 28 37,"Rte de l'Ancienne Pointe 16
1920 Martigny 1",https://www.google.com/maps/place/Rte%20de%20l'Ancienne%20Pointe%2016+1920+Martigny%201,website does not exist
Codemco GmbH,Grosshandel mit Baustoffen,NA,tel:041 790 72 57,fax:041 790 72 58,"Bösch 81
6331 Hünenberg",https://www.google.com/maps/place/B%C3%B6sch%2081+6331+H%C3%BCnenberg,website does not exist
Lanz AG Möhlin,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.lanz-gartenbau.ch/,tel:061 851 36 72,fax:061 841 26 20,"Werkhofstrasse 7
4313 Möhlin",https://www.google.com/maps/place/Werkhofstrasse%207+4313+M%C3%B6hlin,info@lanz-gartenbau.ch
Max-René Hadorn,Vermietung und Verpachtung von eigenen oder geleasten Grundstücken,NA,tel:031 301 51 11,fax:031 301 51 13,"Kalchackerstrasse 33
3047 Bremgarten b. Bern",https://www.google.com/maps/place/Kalchackerstrasse%2033+3047+Bremgarten%20b.%20Bern,website does not exist
Fleury Opticiens SA,Detailhandel mit Brillen und anderen Sehhilfen,http://www.fleury.ch/,tel:026 919 68 00,NA,"Grand-Rue 12
1630 Bulle",https://www.google.com/maps/place/Grand-Rue%2012+1630+Bulle,email not found on website
Barko Handels AG,Grosshandel ohne ausgeprägten Schwerpunkt,NA,NA,NA,"Seestrasse 84
6052 Hergiswil NW",https://www.google.com/maps/place/Seestrasse%2084+6052+Hergiswil%20NW,website does not exist
typo.d AG,Grafikdesign und Visuelle Kommunikation,http://www.typod.ch/,tel:061 713 25 35,fax:061 713 25 36,"Baselstrasse 8
4153 Reinach BL",https://www.google.com/maps/place/Baselstrasse%208+4153+Reinach%20BL,info@typod.ch
Weber Gartenbau AG,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.gartenbau-weber.ch/,tel:041 743 20 80,fax:041 743 20 81,"Blickensdorferstrasse 2
6312 Steinhausen",https://www.google.com/maps/place/Blickensdorferstrasse%20%202+6312+Steinhausen,email not found on website
Von Niederhäusern AG,Reparatur von Maschinen,http://www.von-ag.ch/,tel:033 681 31 31,fax:033 681 31 35,"Weier
3762 Erlenbach im Simmental",https://www.google.com/maps/place/Weier+3762+Erlenbach%20im%20Simmental,email not found on website
AGC Fassadensysteme AG,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,NA,tel:043 466 94 80,NA,"Stationsstrasse 22
8606 Greifensee",https://www.google.com/maps/place/Stationsstrasse%2022+8606+Greifensee,website does not exist
Gustav Lienhard,"Advokatur-, Notariatsbüros",NA,tel:062 511 32 70,NA,"Buchserstrasse 18
5000 Aarau",https://www.google.com/maps/place/Buchserstrasse%2018+5000+Aarau,website does not exist
Flynn Flex AG,Grosshandel ohne ausgeprägten Schwerpunkt,http://www.flynnflex.ch/,tel:044 342 35 13,fax:044 342 35 15,"Riedhofstrasse 354
8049 Zürich",https://www.google.com/maps/place/Riedhofstrasse%20354+8049+Z%C3%BCrich,info@flynnflex.ch
EWAG Textil AG,Ausschreibungen,NA,tel:071 352 50 55,fax:071 352 50 59,"Schönbrunnstrasse 14
9000 St. Gallen",https://www.google.com/maps/place/Sch%C3%B6nbrunnstrasse%2014+9000+St.%20Gallen,website does not exist
Elektro Stäbler AG,Elektroinstallation,NA,tel:062 295 48 61,fax:062 295 53 12,"Niederämterstrasse 1
4657 Dulliken",https://www.google.com/maps/place/Nieder%C3%A4mterstrasse%201+4657+Dulliken,website does not exist
RegioTV GmbH,"Herstellung von Filmen, Videofilmen und Fernsehprogrammen",http://www.regiotv.ch/,tel:071 940 07 07,fax:071 944 30 72,"Bahnhofstrasse 100
9240 Uzwil",https://www.google.com/maps/place/Bahnhofstrasse%20100+9240+Uzwil,website does not exist
reoplan thun ag,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,NA,tel:033 223 70 00,fax:033 223 70 01,"Uttigenstrasse 30
3600 Thun",https://www.google.com/maps/place/Uttigenstrasse%2030+3600+Thun,website does not exist
Gebr. Vogel + Co. AG Schlosserei +,Schlossereien,http://www.vogel-metallbau.ch/,NA,NA,"Eistrasse 18
6102 Malters",https://www.google.com/maps/place/Eistrasse%2018+6102+Malters,bad/broken link to website
HPK Malergesch.Hanspeter Kreis,Malerei,http://www.hpk-malergeschaeft.ch/,tel:044 860 39 43,NA,"Wehntalerstrasse 16
8181 Höri",https://www.google.com/maps/place/Wehntalerstrasse%2016+8181+H%C3%B6ri,email not found on website
Bhend Elektroplan GmbH,Gebäudetechnik-Ingenieurbüros,NA,tel:062 855 80 60,fax:062 855 80 61,"Tramstrasse 11
5034 Suhr",https://www.google.com/maps/place/Tramstrasse%2011+5034+Suhr,website does not exist
Gästehaus Engersch Wallis AG,Kollektivunterkünfte,NA,tel:+49 6051 971470,NA,"Engersch Jeitzistrasse 40
3957 Bratsch",https://www.google.com/maps/place/Engersch%20Jeitzistrasse%2040+3957+Bratsch,website does not exist
Restaurant Jägerhof,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.hotel-jaegerhof.ch/,tel:027 957 13 10,fax:027 957 16 55,"im Hotel Jägerhof
3906 Saas-Fee",https://www.google.com/maps/place/im%20Hotel%20J%C3%A4gerhof+3906+Saas-Fee,info@hotel-jaegerhof.ch
Arbogast Isolierungen AG,"Dämmung gegen Kälte, Wärme, Schall und Erschütterung",http://www.arbogast-ag.ch/,tel:061 603 30 80,fax:061 603 30 81,"Im Speckler 16
4126 Bettingen",https://www.google.com/maps/place/Im%20Speckler%2016+4126+Bettingen,website does not exist
Zili AG,Architekturbüros,http://www.zili.ch/,tel:071 911 68 22,fax:071 911 02 26,"Hauptstrasse 43
9552 Bronschhofen",https://www.google.com/maps/place/Hauptstrasse%2043+9552+Bronschhofen,info@zili.ch
Marmobisa AG,Inserate,http://www.marmobisa.ch/,tel:062 748 70 53,NA,"Gewerbehaus Mühle
6245 Ebersecken",https://www.google.com/maps/place/Gewerbehaus%20M%C3%BChle+6245+Ebersecken,email not found on website
POWER STUDIO MICHELLEBAUMGARTNER.CH,Gymnastik- und Fitnesszentren,http://www.michellebaumgartner.ch/,NA,NA,"Zürcherstrasse 102
8852 Altendorf",https://www.google.com/maps/place/Z%C3%BCrcherstrasse%20102+8852+Altendorf,email not found on website
Hup Architekten + Planer,Architekturbüros,NA,tel:056 621 89 81,fax:056 621 89 82,"Bahnhofweg 17
5610 Wohlen AG",https://www.google.com/maps/place/Bahnhofweg%2017+5610+Wohlen%20AG,website does not exist
Popaj Bau GmbH,Allgemeiner Hochbau,http://www.popaj-bau.ch/,tel:079 647 09 16,NA,"Oberdorfstrasse 12
8153 Rümlang",https://www.google.com/maps/place/Oberdorfstrasse%2012+8153+R%C3%BCmlang,info@popaj-bau.ch
Josef Brun,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:056 634 35 35,fax:056 634 35 36,"Breitenrain 37
8917 Oberlunkhofen",https://www.google.com/maps/place/Breitenrain%2037+8917+Oberlunkhofen,website does not exist
Siegrist & Tschuor AG,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,http://www.siegrist-tschuor.ch/,tel:062 791 35 65,fax:062 791 56 80,"Bifangstrasse 47a
4663 Aarburg",https://www.google.com/maps/place/Bifangstrasse%2047a+4663+Aarburg,info@siegrist-tschuor.ch
bp Tankstelle Neuchatel,Detailhandel mit Motorenkraftstoffen (Tankstellen),NA,NA,NA,"Rue de la Pierre-à-Mazel 25
2000 Neuchâtel",https://www.google.com/maps/place/Rue%20de%20la%20Pierre-%C3%A0-Mazel%2025+2000+Neuch%C3%A2tel,website does not exist
Trem,Grosshandel mit Automobilteilen und -zubehör,http://www.trem.ch/,tel:032 483 13 06,NA,"Rte de Reconvilier 9
2710 Tavannes",https://www.google.com/maps/place/Rte%20de%20Reconvilier%209+2710+Tavannes,info@trem.ch
Burch Bauaustrocknung AG,Sonstiger spezialisierter Hoch- und Tiefbau a. n. g.,NA,tel:041 676 77 44,fax:041 676 77 45,"Industriestrasse 11
6074 Giswil",https://www.google.com/maps/place/Industriestrasse%2011+6074+Giswil,website does not exist
Kirchhofer AG,Detailhandel mit Uhren und Schmuck,http://www.kirchhofer.com/,tel:033 854 40 20,fax:033 854 40 29,"Im Tuftli
3818 Grindelwald",https://www.google.com/maps/place/Im%20Tuftli+3818+Grindelwald,landing-women@2x.jpg
"Sailer + Co, Mega Verlag",Verlegen von Zeitschriften,NA,tel:044 747 00 03,NA,"Soodstrasse 20
8955 Oetwil an der Limmat",https://www.google.com/maps/place/Soodstrasse%2020+8955+Oetwil%20an%20der%20Limmat,website does not exist
Pacitto Baukeramik GmbH,Verlegen von Fliesen und Platten,http://www.pacittobaukeramik.ch/,NA,NA,"Alte Bielstrasse 48
2575 Gerolfingen",https://www.google.com/maps/place/Alte%20Bielstrasse%2048+2575+Gerolfingen,info@pacittobaukeramik.ch
Blumenhaus D.+ J.Frei GmbH,Detailhandel mit Blumen und Pflanzen,http://www.blumenhaus-frei.ch/,tel:062 296 71 04,NA,"Bahnhofplatz 3b
5000 Aarau",https://www.google.com/maps/place/Bahnhofplatz%203b+5000+Aarau,andreas@honeybadger-digital.com
Kurmann & Partner GmbH,Verlegen von Fliesen und Platten,http://www.kurmann-platten.ch/,tel:044 767 02 38,fax:044 768 29 78,"Im Grindel 6
8932 Mettmenstetten",https://www.google.com/maps/place/Im%20Grindel%206+8932+Mettmenstetten,email not found on website
ALL CLEAN-PRODUCTS GmbH,Grosshandel ohne ausgeprägten Schwerpunkt,NA,NA,NA,"Obere Gansbach 1
9050 Appenzell",https://www.google.com/maps/place/Obere%20Gansbach%201+9050+Appenzell,website does not exist
Graniti GmbH,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,NA,tel:032 392 40 48,fax:032 322 26 47,"Im Baumgarten 5
2542 Pieterlen",https://www.google.com/maps/place/Im%20Baumgarten%205+2542+Pieterlen,website does not exist
Basler Reinigungsgesellschaft AG,Allgemeine Gebäudereinigung,NA,NA,NA,"Baumgartenweg 3
4127 Birsfelden",https://www.google.com/maps/place/Baumgartenweg%203+4127+Birsfelden,website does not exist
Peter Müller FitMove,Herstellung von Sportgeräten,http://www.fitmove.ch/,tel:078 630 99 95,NA,"Rietstrasse 21
8703 Erlenbach ZH",https://www.google.com/maps/place/Rietstrasse%2021+8703+Erlenbach%20ZH,email not found on website
ISEKO Immobilien AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,NA,NA,"Zugerstrasse 54
6403 Küssnacht am Rigi",https://www.google.com/maps/place/Zugerstrasse%2054+6403+K%C3%BCssnacht%20am%20Rigi,website does not exist
Urs Scheidegger Behag,Sanitärinstallation,NA,tel:041 440 64 64,fax:041 450 04 03,"Sagenblickweg 11
6030 Ebikon",https://www.google.com/maps/place/Sagenblickweg%2011+6030+Ebikon,website does not exist
IBC AG,Architekturbüros,NA,tel:071 226 90 40,fax:071 226 90 44,"Im Lerchenfeld 2
9535 Wilen b. Wil",https://www.google.com/maps/place/Im%20Lerchenfeld%202+9535+Wilen%20b.%20Wil,website does not exist
Garage Hollenstein AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:061 717 90 10,fax:061 717 90 19,"Therwilerstrasse 2
4147 Aesch BL",https://www.google.com/maps/place/Therwilerstrasse%202+4147+Aesch%20BL,website does not exist
Karl Geiges AG Tiefbauuntern.,Bau von Strassen,http://www.geiges-ag.ch/,tel:052 720 31 18,fax:052 720 36 18,"Erlenstrasse 16
8500 Frauenfeld",https://www.google.com/maps/place/Erlenstrasse%2016+8500+Frauenfeld,info@geiges-ag.ch
Ritz Crossmedia AG,Offsetdruck,https://www.ritz.ch/,tel:031 992 93 94,fax:031 992 99 88,"Morgenstrasse 131
3018 Bern",https://www.google.com/maps/place/Morgenstrasse%20131+3018+Bern,email not found on website
Viglezio Pneumatici SA,Detailhandel mit Automobilteilen und -zubehör,http://www.viglezio.ch/,tel:091 960 52 52,fax:091 994 84 14,"via Paradiso 20
6924 Sorengo",https://www.google.com/maps/place/via%20Paradiso%2020+6924+Sorengo,info@viglezio.ch
